ChartNumber,ImageFileName,Title,TitleType,ChartType,Condition,TheContext,Question1Text,Question1Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Question2Text,Question2Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Question3Text,Question3Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,
Chart 6,images/imageChart6DS.PNG,בירושלים והדרום היה את השינוי הקטן ביותר במספר העסקאות בין שנת 2010 לשנת 2021,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט של חברות הזנק, באיזה מחוז הפער במספר עסקאות האקזיט בין שנת 2010 לשנת 2021 הוא הגבוה ביותר? ",Questions/Chart6Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,Questions/Chart6Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart6Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7MS.PNG,אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021, descriptive,simple,DS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7DC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,message,simple,MS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7MC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר, descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7DS.PNG,במחוז הצפון הפער בין אחוז התושבים היהודים והערבים שלא מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 8,images/imageChart8MS.PNG,היקף השימוש ברשתות חברתיות באוכלוסייה מעל גיל  60 בשנת 2024, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,Questions/Chart8Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,Questions/Chart8Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart8Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 8,images/imageChart8DC.PNG,היקף השימוש בטיקטוק הוא הנמוך ביותר בקרב גילאי 60 ומעלה בשנת 2024,message,simple,MS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,Questions/Chart8Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,Questions/Chart8Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart8Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 8,images/imageChart8MC.PNG,היקף השימוש ברשתות חברתיות בקרב גילאי 18-22 וגילאי 60 ומעלה, descriptive,complex,DC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,Questions/Chart8Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,Questions/Chart8Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart8Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 8,images/imageChart8DS.PNG,הפער הגדול ביותר בהיקף השימוש ברשתות חברתיות בין כלל הבוגרים לבני 18-22 הוא בטיקטוק,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,Questions/Chart8Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,Questions/Chart8Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart8Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 9,images/imageChart9MS.PNG,הוצאות המגזר הממשלתי לפי סוג מטרה בשנת 2022 , descriptive,simple,DS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי היא הגבוהה ביותר בשנת 2022? ,Questions/Chart9Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022?   ,Questions/Chart9Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart9Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 9,images/imageChart9DC.PNG,ביטוח סוציאלי וסעד היא ההוצאה הגבוהה ביותר במגזר הממשלתי בשנת 2022,message,simple,MS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי היא הגבוהה ביותר בשנת 2022? ,Questions/Chart9Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022?   ,Questions/Chart9Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart9Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 9,images/imageChart9MC.PNG,הוצאות המגזר הממשלתי לפי סוג מטרה בשנים 2006 ו-2022 , descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי עלתה הכי הרבה בין שנת 2006 לשנת 2022?  ,Questions/Chart9Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022? ,Questions/Chart9Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart9Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 9,images/imageChart9DS.PNG,ביטוח סוציאלי וסעד היא ההוצאה שעלתה הכי הרבה בין שנת 2006 לשנת 2022,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי עלתה הכי הרבה בין שנת 2006 לשנת 2022?  ,Questions/Chart9Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022? ,Questions/Chart9Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart9Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 10,images/imageChart10MS.PNG,שביעות הרצון של התושבים מרמת הניקיון באזור המגורים בשנת 2021, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הנמוכה ביותר? ,Questions/Chart10Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart10Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart10Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 10,images/imageChart10DC.PNG,שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 הכי נמוכה בבני ברק,message,simple,MS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הנמוכה ביותר? ,Questions/Chart10Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart10Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart10Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 10,images/imageChart10MC.PNG,שביעות הרצון של התושבים מרמת הניקיון באזור המגורים בשנים 2018 ו-2021, descriptive,complex,DC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2021,Questions/Chart10Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart10Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart10Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 10,images/imageChart10DS.PNG,שביעות הרצון מרמת הניקיון באזור המגורים בבני ברק הכי נמוכה גם בשנת 2018 וגם בשנת 2021 ,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2021,Questions/Chart10Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart10Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart10Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 11,images/imageChart11MS.PNG,שעות מול המסך בממוצע ליום לפי מטרת הצפייה בשנת 2022, descriptive,simple,DS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2022,Questions/Chart11Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart11Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart11Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 11,images/imageChart11DC.PNG,ממוצע שעות צפייה במסך ביום הגבוה ביותר הוא למטרת עבודה בשנת 2022,message,simple,MS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2023,Questions/Chart11Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart11Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart11Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 11,images/imageChart11MC.PNG,ממוצע שעות ביום מול המסך לפי מטרת הצפייה בשנת 2020 ובשנת 2022, descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2024,Questions/Chart11Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart11Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart11Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 11,images/imageChart11DS.PNG,ממוצע שעות צפייה במסך ביום למטרת עבודה ירד בין השנים 2020 ו-2022,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2025,Questions/Chart11Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart11Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart11Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 12,images/imageChart12MS.PNG,מאפיינים חשובים בעבודתם של שכירים בגילים 25-64 בשנת 2023, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2026,Questions/Chart12Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart12Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart12Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 12,images/imageChart12DC.PNG,סביבת עבודה נעימה הוא המאפיין הכי פחות חשוב בעבודתם של שכירים בגילים 25-64 בשנת 2023 ,message,simple,MS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2027,Questions/Chart12Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart12Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart12Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 12,images/imageChart12MC.PNG,מאפיינים חשובים בעבודתם של שכירים בגילים 25-64 בשנת 2018 ובשנת 2023, descriptive,complex,DC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2028,Questions/Chart12Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart12Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart12Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 12,images/imageChart12DS.PNG,סביבת עבודת נעימה הוא המאפיין עם השינוי הקטן ביותר בין שנת 2018 לשנת 2023 עבור שכירים בגילים 25-64,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2029,Questions/Chart12Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,Questions/Chart12Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart12Q2.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
